"Read more","Read more"
"Posted:","Posted:"
"Categories:","Categories:"
"Comments:","Comments:"
"Tags:","Tags:"
"Author:","Author:"
"Views:","Views:"
"min read","min read"
"and","and"
"%1 Comment(s)","%1 Comment(s)"
"Add a comment...","Add a comment..."
"Sign in to add a comment...","Sign in to add a comment..."
"Full Name","Full Name"
"Email","Email"
"Submit","Submit"
"Sign In","Sign In"
"Load more comments","Load more comments"
"Add a reply...","Add a reply..."
"Cancel","Cancel"
"Categories","Categories"
"Recent Posts","Recent Posts"
"Featured Posts","Featured Posts"
"Popular Posts","Popular Posts"
"Close","Close"
"Previous","Previous"
"Next","Next"
"Write Your Own Review","Write Your Own Review"
"Nickname","Nickname"
"Summary","Summary"
"Review","Review"
"Your Rating","Your Rating"
"Submit Review","Submit Review"
"%1 stars","%1 stars"
"1 star","1 star"
"Loading...","Loading..."
"You submitted your review for moderation.","You submitted your review for moderation."
"Submitting your review failed, please try again.","Submitting your review failed, please try again."
"Please verify you've entered all required information","Please verify you've entered all required information"
"Customer Reviews","Customer Reviews"
"Review by","Review by"
"%1 rating. %2 out of %3 stars","%1 rating. %2 out of %3 stars"
"Be the first to review this product","Be the first to review this product"
"My Product Reviews","My Product Reviews"
"You have submitted no reviews.","You have submitted no reviews."
"Items","Items"
"Created at","Created at"
"We can't post your review right now.","We can't post your review right now."
"Reviews","Reviews"
"Reviews %1","Reviews %1"
"%1 field is required.","%1 field is required."
"This is a required field.","This is a required field."
"%1 field cannot be longer than %2 characters.","%1 field cannot be longer than %2 characters."
"%1 field cannot be longer than 1 character.","%1 field cannot be longer than 1 character."
"%1 field must be at least %2 characters long.","%1 field must be at least %2 characters long."
"%1 field must be at least 1 character long.","%1 field must be at least 1 character long."
"%1 field must contain a valid email address (Ex: johndoe@domain.com).","%1 field must contain a valid email address (Ex: johndoe@domain.com)."
"Please enter a valid email address (Ex: johndoe@domain.com).","Please enter a valid email address (Ex: johndoe@domain.com)."
"%1 field must contain a value greater than or equal to ""%2"".","%1 field must contain a value greater than or equal to ""%2""."
"Please enter a value greater than or equal to ""%0"".","Please enter a value greater than or equal to ""%0""."
"%1 field must contain a value less than or equal to ""%2"".","%1 field must contain a value less than or equal to ""%2""."
"Please enter a value less than or equal to ""%0"".","Please enter a value less than or equal to ""%0""."
"%1 field is invalid. The two nearest valid values are ""%2"" and ""%3"".","%1 field is invalid. The two nearest valid values are ""%2"" and ""%3""."
"Please enter a valid value. The two nearest valid values are ""%0"" and ""%1"".","Please enter a valid value. The two nearest valid values are ""%0"" and ""%1""."
"Please enter at least %0 characters.","Please enter at least %0 characters."
"Please enter at least 1 character.","Please enter at least 1 character."
"Please enter no more than %0 characters.","Please enter no more than %0 characters."
"Please enter no more than 1 character.","Please enter no more than 1 character."
"%1 field must match the requested format.","%1 field must match the requested format."
"%1 field must match the requested format: %2.","%1 field must match the requested format: %2."
"Please match the requested format.","Please match the requested format."
"Please match the requested format: %0.","Please match the requested format: %0."
"%1 field must contain at least one upper case, one lower case, one digit and one special character (#?!@$%^&*-)","%1 field must contain at least one upper case, one lower case, one digit and one special character (#?!@$%^&*-)"
"Please provide at least one upper case, one lower case, one digit and one special character (#?!@$%^&*-)","Please provide at least one upper case, one lower case, one digit and one special character (#?!@$%^&*-)"
"%1 field value must be the same as ""%2"".","%1 field value must be the same as ""%2""."
"This field value must be the same as ""%0"".","This field value must be the same as ""%0""."
"Check out faster","Check out faster"
"Checkout as a new customer","Checkout as a new customer"
"Checkout using your account","Checkout using your account"
"Close panel","Close panel"
"Creating an account has many benefits:","Creating an account has many benefits:"
"Date of Birth","Date of Birth"
"Email Address","Email Address"
"First Name","First Name"
"Last Name","Last Name"
"Please complete your information below to creat an account.","Please complete your information below to creat an account."
"See order and shipping status","See order and shipping status"
"The information below is required for social login","The information below is required for social login"
"Track order history","Track order history"
"Welcome to %store_name","Welcome to %store_name"
"Welcome to %store_name.","Welcome to %store_name."
"%name,","%name,"
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:"
"Email:","Email:"
"When you sign in to your account, you will be able to:","When you sign in to your account, you will be able to:"
"Proceed through checkout faster","Proceed through checkout faster"
"Check the status of orders","Check the status of orders"
"View past orders","View past orders"
"Store alternative addresses (for shipping to multiple family members and friends)","Store alternative addresses (for shipping to multiple family members and friends)"
"Thank you, %store_name","Thank you, %store_name"
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 Item"
"%1 Item(s)","%1 Item(s)"
"Page","Page"
"You're currently reading page","You're currently reading page"
"Show","Show"
"Show items per page","Show items per page"
"Previous Page","Previous Page"
"Next Page","Next Page"
"You're reviewing:","You're reviewing:"
