"Refund successful.","Hoàn tiền thành công."
"Refund failed.","Hoàn tiền thất bại."
"Refund in progress.","Đang tiến hành hoàn tiền."
"Invalid authentication information.","Thông tin xác thực không hợp lệ."
"Invalid app information.","Thông tin ứng dụng không hợp lệ."
"Refund time has expired.","Hết thời gian hoàn tiền."
"Invalid refund ID format.","Định dạng ID hoàn tiền không hợp lệ."
"Refund ID has incorrect time.","ID hoàn tiền có thời gian không đúng."
"Refund ID has incorrect app ID.","ID hoàn tiền có ID ứng dụng không đúng."
"System error.","Lỗi hệ thống."
"Merchant error - Invalid refund type.","Lỗi từ người bán - Loại hoàn tiền không hợp lệ."
"Merchant error - PMC does not support refund.","Lỗi từ người bán - PMC không hỗ trợ hoàn tiền."
"Merchant error - Transaction not complete.","Lỗi từ người bán - Giao dịch chưa hoàn tất."
"Merchant error - Transaction failed.","Lỗi từ người bán - Giao dịch thất bại."
"Merchant error - Invalid time.","Lỗi từ người bán - Thời gian không hợp lệ."
"Merchant error - Transaction not found.","Lỗi từ người bán - Không tìm thấy giao dịch."
"Merchant error - Transaction type does not support refund.","Lỗi từ người bán - Loại giao dịch không hỗ trợ hoàn tiền."
"Merchant error - Transaction already successful.","Lỗi từ người bán - Giao dịch đã thành công trước đó."
"Merchant error - Invalid request format.","Lỗi từ người bán - Định dạng yêu cầu không hợp lệ."
"Merchant error - Invalid refund amount.","Lỗi từ người bán - Số tiền hoàn tiền không hợp lệ."
"System error - Failed to insert refund partial history.","Lỗi hệ thống - Không thể chèn lịch sử hoàn tiền một phần."
"System error - Failed to insert refund log AR.","Lỗi hệ thống - Không thể chèn log hoàn tiền AR."
"System error - Failed to update refund log AR.","Lỗi hệ thống - Không thể cập nhật log hoàn tiền AR."
"System error - Transaction status does not support refund.","Lỗi hệ thống - Trạng thái giao dịch không hỗ trợ hoàn tiền."
"System error - Failed to insert refund transaction log.","Lỗi hệ thống - Không thể chèn log giao dịch hoàn tiền."
"System error - Failed to update total refund amount.","Lỗi hệ thống - Không thể cập nhật tổng số tiền hoàn tiền."
"System error - Refund not found.","Lỗi hệ thống - Không tìm thấy hoàn tiền."
"System error - Refund status does not support refund.","Lỗi hệ thống - Trạng thái hoàn tiền không hỗ trợ hoàn tiền."
"Merchant error - Duplicate refund.","Lỗi từ người bán - Hoàn tiền trùng lặp."
"Merchant error - Invalid merchant refund ID format.","Lỗi từ người bán - Định dạng ID hoàn tiền của người bán không hợp lệ."
"Merchant error - Invalid merchant refund ID date.","Lỗi từ người bán - Ngày ID hoàn tiền của người bán không hợp lệ."
"Merchant error - Invalid merchant refund ID app ID.","Lỗi từ người bán - App ID ID hoàn tiền của người bán không hợp lệ."
"Merchant error - Invalid client ID.","Lỗi từ người bán - Client ID không hợp lệ."
"Merchant error - Invalid transaction.","Lỗi từ người bán - Giao dịch không hợp lệ."
"System error - Bank system not found.","Lỗi hệ thống - Không tìm thấy hệ thống ngân hàng."
"System error - Refund cache and database inconsistent.","Lỗi hệ thống - Cache hoàn tiền và cơ sở dữ liệu không nhất quán."
"System error - Refund over time.","Lỗi hệ thống - Hoàn tiền quá thời gian."
"Merchant error - Illegal app request.","Lỗi từ người bán - Yêu cầu ứng dụng không hợp lệ."
"Merchant error - Illegal signature request.","Lỗi từ người bán - Yêu cầu chữ ký không hợp lệ."
"Merchant error - Illegal client request.","Lỗi từ người bán - Yêu cầu client không hợp lệ."
"System error - Limit request reach.","Lỗi hệ thống - Đạt đến giới hạn yêu cầu."
"System error.","Lỗi hệ thống."
